Luas,Kamar,KamarMandi,JarakPusat,UsiaBangunan,AksesTransport,Harga
76.09434159508862,3.0,3.0,8.176849512416792,8.102813772512873,-2.344343308418874,2607.4542183190615
49.20031787519009,1.0,3.0,7.188344060817809,12.192182452382605,0.9427658012252752,1857.20047567904
85.00902391612914,5.0,2.0,3.6702912104468526,13.677792282847594,-0.9849949277244419,3272.6172343450876
88.81129432782427,4.0,2.0,7.395792489572283,9.154072615333488,-0.4555278450034305,3199.8219504745152
30.979296226923275,5.0,1.0,5.015606973389946,19.190673343606317,-1.3864422532701932,1337.2254660792562
43.95640986275364,1.0,1.0,2.9987378443074144,16.045064625919352,-1.4099697030838758,1572.6471732467644
72.55680806334571,1.0,1.0,10.044887258190139,8.460075301601483,-0.17383770009461635,2413.1993123512425
63.675148153128355,5.0,1.0,9.56505863973294,14.500730872821666,-0.7295771941356465,2334.451862839871
69.66397684991422,2.0,2.0,0.8531699545276883,21.60276091112912,0.37797099799469847,2818.434995804059
52.9391214485284,4.0,3.0,7.509261450019491,21.762907604698164,0.4525384189795919,2171.928698982273
87.58795949725658,5.0,3.0,11.982805543599694,2.632000715065015,0.32084964632460716,3340.016458710258
85.55583870857896,1.0,2.0,12.236894955585283,4.440801333057096,0.2386007909284437,2907.8045888544693
71.32061395122432,1.0,3.0,12.103347371540956,18.909512720403107,1.5777682049318862,2483.3075953031
92.54482413936066,1.0,3.0,8.15565282760584,3.6503136949741766,-1.067593769044886,3491.29918354232
79.35018684504091,1.0,3.0,4.619818688123395,2.0647532002499265,-0.05493486620291775,2991.327410481322
52.81415074233524,1.0,2.0,3.6652046905677578,7.082835215805719,1.1326898205195888,2123.4827643165418
77.37501568164998,5.0,1.0,9.37841961900143,12.521360256847515,1.2645398093380364,3036.944813411362
50.82234798342002,4.0,3.0,9.517120137460651,9.385619760333421,-1.4217636493445729,1828.015522157701
87.56900602614544,5.0,1.0,13.149324446420263,6.0966182775664475,-0.3123554416558699,2896.780494497622
